device_name,display_size (inches),display_prot,height (inches),width (inches),depth (inches),weight (grams),os,b_no_of_camera(s),backcam (megapixels),f_no_of_camera(s),frontcam (megapixels),internal (GB),ram (GB),expandable (GB),battery (mAh),chipset,architecture,cores,proc_make,frequency (MHz),gpu,price (INR)
Micromax Canvas 6 Pro ,5.5,Corning Gorilla Glass 3,,,,,"Android OS, v5.1 (Lollipop)",1,13,1,5,16.0,4.0,64,3000,Helio X10,Cortex-A53,8.0,Mediatek MT6795,2.0,PowerVR G6200,"6,949"
Micromax Selfie 2 Q4311 ,5.2,,,,,148.0,"Android OS, v7.0 (Nougat)",1,13,1,8,32.0,3.0,64,3000,MT6737,Cortex A53,4.0,MediaTek,1.3,Mali-T720 MP2,"7,999"
Micromax Canvas 2 (2017) ,5.0,,5.6,2.7,0.3,142.0,"Android OS, v7.0 (Nougat)",1,13,1,5,16.0,3.0,64,3050,MT6737,Cortex A53,4.0,MediaTek,1.3,Mali-T720 MP2,"6,280"
Micromax Canvas Mega Q417 ,5.5,,,,,,"Android OS, v5.1 (Lollipop)",1,13,1,5,16.0,3.0,32,2500,,Cortex-A53,4.0,,1.3,Mali-T720MP2,"8,500"
Micromax Bharat 2 Plus ,4.0,,4.9,2.4,3.0,120.0,"Android OS, v7.0 (Nougat)",1,5,1,2,8.0,1.0,32,1600,M6737,,4.0,MediaTek,1.3,,"3,199"
Micromax Bharat 5 ,5.2,,,,,,"Android OS, v7.0 (Nougat)",1,5,1,5,16.0,1.0,64,5000,,,4.0,MediaTek,1.3,,"5,800"
Micromax Bharat 4 ,5.0,,5.6,2.8,0.3,150.0,"Android OS, v7.0 (Nougat)",1,5,1,5,8.0,1.0,32,2500,MT6737,Cortex A53,4.0,MediaTek,1.3,Mali-T720 MP2,"4,600"
Micromax Q300 ,3.5,,,,,,"Android OS, v5.0 (Lollipop)",1,2,2,0+3,4.0,0.5,32,1200,,,4.0,,1.2,,"2,299"
Micromax x900 ,2.8,,,,,,,1,0.3,0,,,0.0390625,,1000,,,1.0,,,,"1,199"
Micromax Bharat 2 Ultra ,4.0,,,,,,"Android OS, v6.0 (Marshmallow)",1,2,2,0+3,4.0,0.5,32,1300,SC9832,,4.0,Spreadtrum,1.3,,"2,890"
Micromax Bharat 1 ,2.4,,,,,,,1,2,2,0+3,4.0,0.5,32,2000,Snapdragon 205,Cortex A7,2.0,Qualcomm,1.1,Adreno 304,"2,135"
Micromax Canvas Xpress 4G 3GB RAM ,5.0,,,,,164.0,"Android OS, v5.1 (Lollipop)",1,8,1,2,16.0,3.0,32,2000,MT6735P,Cortex-A53,4.0,Mediatek,1.0,Mali-T720MP2,"4,399"
Micromax Q450 ,4.7,,,,,97.0,"Android OS, v5.0 (Lollipop)",1,8,1,5,16.0,2.0,32,2000,Snapdragon 410,Cortex-A53,4.0,Qualcomm MSM8916,1.2,Adreno 306,"5,978"
Micromax Canvas Spark 3 ,5.5,,,,,,"Android OS, v5.1 (Lollipop)",1,8,1,5,8.0,1.0,32,2500,SC7731G,Cortex-A7,4.0,Spreadtrum,1.3,Mali-400 MP2,"3,899"
Micromax Bharat Go ,4.5,,5.3,2.6,0.3,130.0,"Android OS, v8.0 (Oreo)",1,5,1,5,8.0,1.0,32,2000,MT6737М,Cortex-A53,4.0,Mediatek,1.1,Mali-T720MP1,4399
Micromax Canvas 2 Plus ,5.7,,,,,,"Android OS, v7.0 (Nougat)",1,13,1,8,32.0,3.0,128,4000,,,4.0,,1.3,,8999
Micromax X415 ,1.8,,,,,,,1,0.3,0,,,,32,1000,,,,,,,770
