device_name,display_size (inches),display_prot,height (inches),width (inches),depth (inches),weight (grams),os,b_no_of_camera(s),backcam (megapixels),f_no_of_camera(s),frontcam (megapixels),internal (GB),ram (GB),expandable (GB),battery (mAh),chipset,architecture,cores,proc_make,frequency (MHz),gpu,price (INR)
Samsung Galaxy Star ,3.0,,4.1,2.2,0.4,100.0,"Android OS, v4.1 (Jelly Bean)",1,2,0,,4.0,0.5,32,1200,,Cortex-A5,,,1.0,Mali-300,"3,458"
Samsung Guru Music E1282 ,1.7,,4.3,1.7,0.5,74.5,,0,,0,,,,4,1000,,,,,,,"1,743"
Samsung Galaxy S3 Neo ,4.8,,5.3,2.7,0.3,132.0,"Android OS, v4.3 (Jelly Bean)",1,8,2,1+9,16.0,1.5,64,2100,Snapdragon 400,Cortex-A7,4.0,Qualcomm MSM8226,,Adreno 305,"9,599"
Samsung Galaxy Grand Prime 4G ,5.0,,5.7,2.8,0.3,156.0,"Android OS, v5.1 (Lollipop)",1,8,1,5,8.0,1.0,64,2600,Snapdragon 410,Cortex-A53,4.0,Qualcomm MSM8916,1.2,Adreno 306,"11,999"
Samsung G361H ,4.5,,5.1,2.6,0.3,130.0,"Android OS, v4.4 (KitKat)",1,5,1,2,8.0,1.0,128,2000,Snapdragon 410,Cortex-A53,4.0,Qualcomm MSM8916,1.2,Adreno 306,"7,999"
Samsung Guru B110 ,1.5,,4.0,1.7,0.5,69.0,,0,,0,,600KB,,0,800,,,,,,,"1,450"
Samsung Guru E1207 ,1.5,,4.2,1.7,0.5,,,0,,0,,,,0,800,,,,,,,"1,450"
Samsung Galaxy A7 ,5.5,Corning Gorilla Glass 4,5.9,3.0,0.2,141.0,"Android OS, v4.4.4 (KitKat)",1,13,1,5,16.0,2.0,64,2600,Snapdragon 615,Cortex-A53,8.0,Qualcomm MSM8939,1.5+1.0,Adreno 405,"21,990"
Samsung Galaxy Grand Neo Plus ,5.0,,5.6,3.0,0.3,163.0,"Android OS, v4.4.4 (KitKat)",1,5,2,0+3,8.0,1.0,64,2100,,Cortex-A7,4.0,,1.2,,"6,999"
Samsung Galaxy Note Edge ,5.6,Corning Gorilla Glass 3,5.9,3.2,0.3,174.0,"Android OS, v4.4.4 (KitKat)",1,16,2,3+7,32.0,3.0,128,3000,Snapdragon 805,Krait 450,4.0,Qualcomm,2.7,Adreno 420,"49,990"
Samsung Galaxy Alpha ,4.7,,5.2,2.5,0.2,115.0,"Android OS, v4.4.4 (KitKat)",1,12,2,2+1,32.0,2.0,0,1860,,Cortex-A15,8.0,,1.8+1.3,Mali-T628 MP6,"20,999"
Samsung Galaxy Core 2 ,4.5,,5.1,2.6,0.3,138.0,"Android OS, v4.4.2 (KitKat)",1,5,2,0+3,4.0,0.75,64,2000,,,4.0,,1.2,HD Game Support,"8,000"
Samsung Galaxy J2 (2016) ,5.0,,5.6,2.8,0.3,138.0,"Android OS, v6.0 (Marshmallow)",1,8,1,5,8.0,1.5,128,2600,SC8830,Cortex-A7,4.0,Spreadtrum,1.5,Mali-400MP2,"8,000"
Samsung Galaxy J5 ,5.0,,5.5,2.8,0.3,146.0,"Android OS, v5.1 (Lollipop)",1,13,1,5,8.0,1.5,128,2600,Snapdragon 410,Cortex-A53,4.0,Qualcomm MSM8916,1.2,Adreno 306,"11,151"
Samsung Galaxy Grand Prime ,5.0,,5.7,2.8,0.3,156.0,"Android OS, v4.4.4 (KitKat)",1,8,1,5,8.0,1.0,64,2600,Snapdragon 410,Cortex-A53,4.0,Qualcomm MSM8916,1.2,Adreno 306,"8,990"
Samsung Galaxy E7 ,5.5,,5.9,3.0,0.2,141.0,"Android OS, v4.4.4 (KitKat)",1,13,1,5,16.0,2.0,64,2950,Snapdragon 410,Cortex-A53,4.0,Qualcomm MSM8916,1.2,Adreno 306,"16,999"
Samsung Galaxy A5 ,5.0,Corning Gorilla Glass 4,5.4,2.7,0.2,123.0,"Android OS, v4.4.4 (KitKat)",1,13,1,5,16.0,2.0,64,2300,Snapdragon 410,Cortex-A53,4.0,Qualcomm MSM8916,1.2,Adreno 306,"16,128"
Samsung Galaxy J1 Ace ,4.3,,5.1,2.6,0.3,128.0,"Android OS, v4.4.4 (KitKat)",1,5,1,2,4.0,0.5,128,1800,PXA1908,Cortex-A53,2.0,Marvell,1.3,Vivante GC7000,"5,570"
Samsung B351 ,2.4,,,,,,,1,2,0,,,,16,1200,,,,,,,"2,800"
Samsung Galaxy S2 I9100 ,4.3,,4.9,2.6,0.3,116.0,"Android OS, v2.3.4 (Gingerbread)",1,8,1,2,16.0,1.0,32,1650,,Cortex-A9,2.0,,1.2,Mali-400MP4,"7,999"
Samsung Galaxy S9 256GB ,5.8,Corning Gorilla Glass 5,5.8,2.7,0.3,163.0,"Android OS, v8.0 (Oreo)",1,12,1,8,256.0,4.0,256,3000,Exynos 9810,Cortex-A55,8.0,Samsung,2.8+1.7,Mali-G72 MP18,"65,900"
Samsung Galaxy A3 ,4.5,Corning Gorilla Glass 4,5.1,2.5,0.2,110.3,"Android OS, v4.4.4 (KitKat)",1,8,1,5,16.0,1.0,64,1900,Snapdragon 410,Cortex-A53,4.0,Qualcomm MSM8916,1.2,Adreno 306,"12,074"
Samsung Galaxy Note 3 ,5.7,Corning Gorilla Glass 3,5.9,3.1,0.3,168.0,"Android OS, v4.3 (Jelly Bean)",1,13,1,2,32.0,3.0,64,3200,Snapdragon 800,Krait 400,4.0,Qualcomm,2.3,Adreno 330,"37,127"
